Comment,Designator,Footprint,嘉立创元件编号
Antenna_pcb,AE1,weather_wifi:antenna_trace_2.4g,
1uF,"C1,C5,C10,C13",Capacitor_SMD:C_0402_1005Metric,C52923
6pF,C14,Capacitor_SMD:C_0402_1005Metric,C30274
10pF,"C2,C3",Capacitor_SMD:C_0402_1005Metric,C32949
10uF,C4,Capacitor_SMD:C_0402_1005Metric,C15525
0.1uF,"C6,C7,C8,C9,C11,C12",Capacitor_SMD:C_0402_1005Metric,C1546
FPC 1x18,J1,Connector_FFC-FPC:Hirose_FH12-18S-0.5SH_1x18-1MP_P0.50mm_Horizontal,
USB2.0_type_c,J2,Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11,
DNP,"L1,L2",Inductor_SMD:L_0603_1608Metric,
S8050,"Q1,Q2",Package_TO_SOT_SMD:SOT-23,C2146
AO3401A,Q3,Package_TO_SOT_SMD:SOT-23,C15127
12K,"R1,R2,R3",Resistor_SMD:R_0402_1005Metric,C25752
470,R13,Resistor_SMD:R_0402_1005Metric,C25117
47k,"R4,R14",Resistor_SMD:R_0402_1005Metric,C25792
33,"R5,R6",Resistor_SMD:R_0402_1005Metric,C25105
DNP,R7,Resistor_SMD:R_0402_1005Metric,
12k,"R8,R10,R11,R12",Resistor_SMD:R_0402_1005Metric,C25752
key_reset/user,SW1,Button_Switch_SMD:SW_SPST_B3U-3000P-B,
key_flash,SW2,Button_Switch_SMD:SW_SPST_B3U-3000P-B,
XC6206PxxxMR,U1,Package_TO_SOT_SMD:SOT-23W,C5446
ESP8266EX,U2,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,
W25Q32 4Mb flash,U3,Package_SO:SOIC-8_5.23x5.23mm_P1.27mm,
CP2104,U4,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,C47742
XPT2046TS,U5,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,
26Mhz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,
